 Base Gems                  | basegems:agate                                      | tile.basegems.agate.name                            
 Base Metals                | basemetals:silver                                   | Molten Silver                                       
 Base Metals                | basemetals:starsteel                                | Molten Star-Steel                                   
 Base Metals                | basemetals:steel                                    | Molten Steel                                        
 Base Metals                | basemetals:tin                                      | Molten Tin                                          
 Base Metals                | basemetals:zinc                                     | Molten Zinc                                         
 Base Minerals              | baseminerals:lithium                                | Molten Silicon                                      
 Base Minerals              | baseminerals:silicon                                | tile.baseminerals.silicon.name                      
 Fantasy Metals             | fantasymetals:enderium                              | tile.fantasymetals.enderium.name                    
 Fantasy Metals             | fantasymetals:lumium                                | tile.fantasymetals.lumium.name                      
 Fantasy Metals             | fantasymetals:prismarinium                          | tile.fantasymetals.prismarinium.name                
 Fantasy Metals             | fantasymetals:signalum                              | tile.fantasymetals.signalum.name                    
 Modern Metals              | modernmetals:aluminum                               | Molten Aluminum                                     
 Modern Metals              | modernmetals:aluminumbrass                          | Molten Aluminum Brass                               
 Modern Metals              | modernmetals:cadmium                                | Molten Cadmium                                      
 Modern Metals              | modernmetals:chromium                               | Molten Chromium                                     
 Modern Metals              | modernmetals:galvanizedsteel                        | Molten Galvanized Steel                             
 Modern Metals              | modernmetals:iridium                                | Molten Iridium                                      
 Modern Metals              | modernmetals:magnesium                              | Molten Magnesium                                    
 Modern Metals              | modernmetals:manganese                              | Molten Manganese                                    
 Modern Metals              | modernmetals:nichrome                               | Molten Nichrome                                     
 Modern Metals              | modernmetals:osmium                                 | Molten Osmium                                       
 Modern Metals              | modernmetals:plutonium                              | Molten Plutonium                                    
 Modern Metals              | modernmetals:rutile                                 | Molten Rutile                                       
 Modern Metals              | modernmetals:stainlesssteel                         | Molten Stainless Steel                              
 Modern Metals              | modernmetals:tantalum                               | Molten Tantalum                                     
 Modern Metals              | modernmetals:titanium                               | Molten Titanium                                     
 Modern Metals              | modernmetals:tungsten                               | Molten Tungsten                                     
 Modern Metals              | modernmetals:uranium                                | Molten Uranium                                      
 Modern Metals              | modernmetals:zirconium                              | Molten Zirconium                                    
